日期,天气状况,气温,风力风向
2011年03月09日,小雨/小雨,18℃/12℃,无持续风向≤3级/北风3-4级
2011年03月10日,小雨/阴,17℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年03月11日,多云/多云,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年03月12日,多云/多云,22℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年03月13日,多云/多云,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年03月14日,多云/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年03月15日,小雨/阴,19℃/10℃,北风4-5级/北风3-4级
2011年03月16日,阴/多云,17℃/11℃,北风3-4级/东北风3-4级
2011年03月17日,阴/小雨,19℃/13℃,北风3-4级/东北风3-4级
2011年03月18日,小到中雨/小雨,15℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年03月19日,阵雨/小雨,14℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年03月20日,多云/多云,22℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年03月21日,小雨/阴,26℃/13℃,无持续风向≤3级/北风3-4级
2011年03月22日,小雨/阴,16℃/11℃,北风3-4级/北风3-4级
2011年03月23日,阴/多云,17℃/11℃,北风3-4级/北风3-4级
2011年03月24日,阴/多云,17℃/12℃,北风3-4级/无持续风向≤3级
2011年03月25日,多云/多云,17℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年03月26日,阴/阴,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年03月27日,阴/阴,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年03月28日,多云/晴,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年03月29日,多云/多云,24℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年03月30日,多云/阴,22℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年03月31日,阴/多云,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年04月01日,多云/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年04月02日,多云/多云,28℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年04月03日,多云/小雨,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年04月04日,多云/多云,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年04月05日,多云/多云,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年04月06日,多云/多云,25℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月07日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月08日,多云/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月09日,多云/多云,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年04月10日,多云/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月11日,多云/多云,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月12日,多云/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月13日,多云/多云,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年04月14日,多云/晴,31℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年04月15日,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年04月16日,多云/雷阵雨,32℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年04月17日,暴雨/阵雨,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年04月18日,多云/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月19日,晴/多云,28℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月20日,晴/多云,32℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年04月21日,多云/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年04月22日,雷阵雨/阵雨,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月23日,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月24日,多云/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月25日,多云/多云,31℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年04月26日,多云/多云,31℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年04月27日,多云/多云,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年04月28日,多云/多云,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年04月29日,小雨/阵雨,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年04月30日,阵雨/阵雨,27℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年05月01日,阵雨/阵雨,28℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年05月02日,阵雨/阵雨,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年05月03日,中雨/小到中雨,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年05月04日,阵雨/阵雨,23℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年05月05日,阵雨/阵雨,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年05月06日,阵雨/阵雨,27℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年05月07日,阵雨/阵雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年05月08日,阵雨/阵雨,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年05月09日,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年05月10日,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年05月11日,雷阵雨/中雨,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年05月12日,中雨/暴雨,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年05月13日,大雨/小到中雨,28℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年05月14日,雷阵雨/阵雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年05月15日,雷阵雨/中雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年05月16日,中到大雨/中雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年05月17日,多云/多云,28℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年05月18日,多云/晴,32℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年05月19日,晴/晴,32℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年05月20日,多云/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年05月21日,多云/阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年05月22日,暴雨/大雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年05月23日,阵雨/阴,25℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年05月24日,阴/多云,25℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年05月25日,多云/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年05月26日,晴/晴,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年05月27日,晴/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年05月28日,晴/晴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年05月29日,晴/晴,33℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年05月30日,晴/晴,33℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年05月31日,晴/晴,33℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年06月01日,晴/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年06月02日,晴/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年06月03日,多云/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月04日,多云/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月05日,阵雨/阵雨,32℃/27℃,无持续风向≤3级/无持续风向≤3级
2011年06月06日,阵雨/多云,33℃/27℃,无持续风向≤3级/无持续风向≤3级
2011年06月07日,阵雨/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月08日,阵雨/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月09日,阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011年06月10日,多云/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011年06月11日,阵雨/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月12日,雷阵雨/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年06月13日,雷阵雨/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月14日,雷阵雨/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月15日,阵雨/阵雨,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月16日,阵雨/暴雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年06月17日,暴雨/中雨,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年06月18日,雷阵雨/多云,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月19日,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年06月20日,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月21日,多云/阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年06月22日,中雨/暴雨,32℃/25℃,东北风3-4级/东南风3-4级
2011年06月23日,大雨/中雨,30℃/25℃,东南风3-4级/东风3-4级
2011年06月24日,阵雨/阵雨,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月25日,阵雨/中雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月26日,大到暴雨/中雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年06月27日,中雨/中雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年06月28日,雷阵雨/暴雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年06月29日,暴雨/大到暴雨,29℃/25℃,无持续风向≤3级/南风3-4级
2011年06月30日,大到暴雨/中雨,28℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月01日,雷阵雨/阵雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月02日,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月03日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月04日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月05日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月06日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月07日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月08日,晴/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月09日,多云/阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月10日,雷阵雨/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月11日,雷阵雨/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年07月12日,雷阵雨/雷阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月13日,雷阵雨/雷阵雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月14日,雷阵雨/雷阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月15日,大到暴雨/大到暴雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月16日,暴雨/大雨,27℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月17日,大雨/中到大雨,30℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月18日,中雨/中雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月19日,中雨/大雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月20日,大雨/中雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月21日,雷阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年07月22日,雷阵雨/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月23日,晴/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月24日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月25日,晴/晴,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月26日,晴/晴,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月27日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月28日,晴/雷阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年07月29日,中雨/中雨,32℃/25℃,东风3-4级/东南风3-4级
2011年07月30日,中雨/小到中雨,31℃/24℃,东南风3-4级/无持续风向≤3级
2011年07月31日,阵雨/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年08月01日,阵雨/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年08月02日,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月03日,晴/晴,36℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月04日,晴/晴,36℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月05日,晴/晴,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月06日,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月07日,雷阵雨/雷阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月08日,雷阵雨/阵雨,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月09日,雷阵雨/中雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月10日,中雨/阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月11日,阵雨/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月12日,阵雨/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月13日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月14日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月15日,晴/晴,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月16日,晴/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011年08月17日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月18日,晴/晴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年08月19日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月20日,多云/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月21日,雷阵雨/晴,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月22日,雷阵雨/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月23日,雷阵雨/雷阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月24日,雷阵雨/雷阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月25日,雷阵雨/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年08月26日,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月27日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月28日,晴/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月29日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月30日,晴/阵雨,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年08月31日,多云/阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月01日,阵雨/大到暴雨,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年09月02日,中雨/大雨,28℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年09月03日,中雨/阵雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年09月04日,阵雨/多云,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月05日,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年09月06日,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月07日,阵雨/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月08日,阵雨/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月09日,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年09月10日,雷阵雨/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月11日,阵雨/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月12日,阵雨/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月13日,阵雨/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月14日,雷阵雨/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年09月15日,雷阵雨/雷阵雨,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年09月16日,雷阵雨/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年09月17日,雷阵雨/阵雨,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年09月18日,雷阵雨/阵雨,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年09月19日,雷阵雨/阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年09月20日,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年09月21日,多云/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年09月22日,晴/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年09月23日,晴/晴,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年09月24日,晴/阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年09月25日,阵雨/多云,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年09月26日,阵雨/多云,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年09月27日,多云/晴,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年09月28日,阵雨/中雨,33℃/24℃,无持续风向≤3级/东风3-4级
2011年09月29日,中到大雨/大到暴雨,29℃/22℃,东北风4-5级/东北风4-5级
2011年09月30日,中雨/阵雨,29℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年10月01日,阵雨/多云,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年10月02日,多云/阵雨,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年10月03日,阵雨/阵雨,26℃/20℃,东北风3-4级/东北风3-4级
2011年10月04日,阵雨/阵雨,25℃/20℃,北风3-4级/北风3-4级
2011年10月05日,多云/阵雨,26℃/20℃,东北风3-4级/无持续风向≤3级
2011年10月06日,多云/阵雨,27℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年10月07日,多云/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年10月08日,多云/晴,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年10月09日,晴/晴,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年10月10日,多云/阵雨,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年10月11日,阵雨/阵雨,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年10月12日,阵雨/阵雨,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年10月13日,中到大雨/中到大雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年10月14日,阵雨/多云,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年10月15日,多云/多云,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年10月16日,多云/多云,28℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年10月17日,晴/晴,29℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年10月18日,晴/晴,29℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年10月19日,晴/晴,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年10月20日,晴/晴,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年10月21日,晴/晴,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年10月22日,晴/晴,30℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年10月23日,多云/多云,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年10月24日,多云/多云,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年10月25日,多云/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年10月26日,多云/多云,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年10月27日,多云/多云,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年10月28日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年10月29日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年10月30日,多云/多云,27℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年10月31日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年11月01日,多云/多云,28℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年11月02日,多云/多云,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年11月03日,多云/小雨,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年11月04日,小雨/多云,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年11月05日,多云/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年11月06日,多云/多云,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年11月07日,多云/小雨,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年11月08日,大雨/大到暴雨,21℃/16℃,无持续风向≤3级/北风3-4级
2011年11月09日,大到暴雨/阵雨,16℃/15℃,北风3-4级/北风3-4级
2011年11月10日,多云/多云,22℃/15℃,北风3-4级/东北风3-4级
2011年11月11日,多云/多云,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年11月12日,多云/多云,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年11月13日,晴/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年11月14日,多云/多云,26℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年11月15日,多云/多云,28℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年11月16日,多云/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年11月17日,小雨/中雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年11月18日,中雨/小到中雨,24℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年11月19日,阴/晴,26℃/17℃,无持续风向≤3级/北风3-4级
2011年11月20日,多云/晴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年11月21日,多云/阴,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年11月22日,阴/多云,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年11月23日,晴/晴,26℃/14℃,无持续风向≤3级/东北风3-4级
2011年11月24日,晴/多云,25℃/16℃,无持续风向≤3级/无持续风向≤3级
